base_code,sample_rate_hz,http_status,content_type,actual_wav_rate_hz,batch,observed_at
Aer,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Aer,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Ana,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Ana,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Ann,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Ann,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Aso,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Aso,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Ast,24000,400,application/json,,all-screenshot-codes-24k,2026-07-23
Ast,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Bai,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Bai,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Bal,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Bal,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Bek,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Bek,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Bez,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Bez,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Bik,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Bik,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Boc,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Boc,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Bol,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Bol,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Bsa,24000,400,application/json,,all-screenshot-codes-24k,2026-07-23
Bsa,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Buz,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Buz,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Che,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Che,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Chp,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Chp,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Chr,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Chr,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Dad,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Dad,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Dsu,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Dsu,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Dyu,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Dyu,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Efo,24000,400,application/json,,all-screenshot-codes-24k,2026-07-23
Efo,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Ego,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Ego,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Erm,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Erm,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Evi,24000,400,application/json,,all-screenshot-codes-24k,2026-07-23
Evi,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Gal,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Gal,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Gav,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Gav,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Gri,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Gri,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Gst,24000,400,application/json,,all-screenshot-codes-24k,2026-07-23
Gst,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Gur,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Gur,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Hek,24000,400,application/json,,all-screenshot-codes-24k,2026-07-23
Hek,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Igr,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Igr,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Izv,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Izv,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Kab,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Kab,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Kai,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Kai,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Kar,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Kar,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Kas,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Kas,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Kbu,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Kbu,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Ker,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Ker,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Kha,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Kha,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Kis,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
